order_id,store_id,city,category,order_timestamp,day_of_week,order_hour,is_peak_hour,pick_time_min,pack_time_min,dispatch_time_min,delivery_time_min,total_fulfillment_time_min,sla_breached,stockout_flag,cancelled_flag,revenue_inr,items_count,customer_rating
ORD100033,DS_Hyderabad_Hitech,Hyderabad,Beverages,2024-01-02 18:16:00,Tuesday,18,0,6.8,3.8,2.9,16.8,30.3,1,0,0,1439.02,5,3.4
ORD100034,DS_Pune_Kothrud,Pune,Personal Care,2024-03-20 12:18:00,Wednesday,12,1,8.2,2.2,2.0,25.7,38.099999999999994,1,0,0,218.25,12,3.8
ORD100035,DS_Mumbai_Andheri,Mumbai,Fruits & Veg,2024-06-09 07:03:00,Sunday,7,0,7.7,3.0,2.7,16.7,30.099999999999998,1,0,0,964.79,9,4.8
ORD100036,DS_Mumbai_Andheri,Mumbai,Beverages,2024-09-17 08:54:00,Tuesday,8,1,11.3,2.1,1.5,26.4,41.3,1,1,0,1254.36,4,3.6
ORD100037,DS_Mumbai_BKC,Mumbai,Staples,2024-10-18 13:37:00,Friday,13,1,11.4,3.5,2.0,19.8,36.7,1,0,0,1160.56,7,3.1
ORD100038,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-05-13 12:42:00,Monday,12,1,9.1,3.9,2.1,17.8,32.9,1,0,0,520.99,7,3.8
ORD100039,DS_Bangalore_Koramangala,Bangalore,Personal Care,2024-08-22 16:59:00,Thursday,16,0,6.8,2.1,2.1,18.3,29.3,0,0,0,241.87,8,3.7
ORD100040,DS_Mumbai_BKC,Mumbai,Dairy,2024-02-07 23:13:00,Wednesday,23,0,6.7,3.6,2.5,23.3,36.1,1,0,0,342.53,6,3.1
ORD100041,DS_Delhi_Lajpat,Delhi,Personal Care,2024-07-08 15:10:00,Monday,15,0,4.1,3.5,2.3,20.6,30.5,1,0,0,1032.61,5,5.0
ORD100042,DS_Mumbai_Andheri,Mumbai,Snacks,2024-12-07 23:19:00,Saturday,23,0,7.1,4.1,2.5,21.3,35.0,1,0,0,294.03,3,3.6
ORD100043,DS_Mumbai_BKC,Mumbai,Snacks,2024-02-24 23:09:00,Saturday,23,0,7.5,2.2,1.9,15.6,27.2,0,0,0,1136.11,12,4.2
ORD100044,DS_Delhi_Lajpat,Delhi,Dairy,2024-12-17 14:32:00,Tuesday,14,0,10.6,1.1,2.3,9.9,23.9,0,0,0,1640.97,1,4.0
ORD100045,DS_Hyderabad_Hitech,Hyderabad,Fruits & Veg,2024-05-21 07:00:00,Tuesday,7,0,8.2,3.1,1.5,14.4,27.2,0,0,0,339.78,5,4.5
ORD100046,DS_Pune_Kothrud,Pune,Personal Care,2024-10-09 19:35:00,Wednesday,19,1,8.5,3.2,2.0,20.7,34.4,1,1,1,1603.62,3,4.6
ORD100047,DS_Mumbai_Andheri,Mumbai,Frozen,2024-07-08 23:09:00,Monday,23,0,7.3,1.0,2.1,14.7,25.1,0,0,0,190.27,6,4.5
ORD100048,DS_Mumbai_Andheri,Mumbai,Frozen,2024-07-02 12:43:00,Tuesday,12,1,8.4,2.9,2.3,28.3,41.900000000000006,1,0,0,292.69,9,3.2
ORD100049,DS_Hyderabad_Hitech,Hyderabad,Beverages,2024-11-13 10:59:00,Wednesday,10,0,5.3,2.5,1.7,26.8,36.3,1,0,0,1572.54,3,3.9
ORD100050,DS_Mumbai_Andheri,Mumbai,Frozen,2024-04-01 16:50:00,Monday,16,0,3.5,3.9,3.1,23.2,33.7,1,0,0,1467.76,12,3.1
ORD100051,DS_Delhi_Lajpat,Delhi,Frozen,2024-05-16 11:50:00,Thursday,11,0,5.0,4.3,1.6,20.2,31.1,1,0,0,762.67,1,4.0
ORD100052,DS_Pune_Kothrud,Pune,Fruits & Veg,2024-04-23 12:52:00,Tuesday,12,1,8.1,2.9,0.4,18.9,30.299999999999997,1,0,0,707.43,4,3.6
ORD100053,DS_Mumbai_Andheri,Mumbai,Snacks,2024-12-03 12:25:00,Tuesday,12,1,7.5,4.6,1.3,21.8,35.2,1,0,0,1572.11,5,3.8
ORD100054,DS_Hyderabad_Hitech,Hyderabad,Fruits & Veg,2024-12-13 23:21:00,Friday,23,0,8.9,1.6,2.6,18.1,31.200000000000003,1,0,0,313.77,5,3.3
ORD100055,DS_Bangalore_Koramangala,Bangalore,Beverages,2024-01-20 09:38:00,Saturday,9,1,10.9,3.2,1.7,24.3,40.1,1,0,0,1343.96,6,3.5
ORD100056,DS_Mumbai_BKC,Mumbai,Staples,2024-07-16 12:16:00,Tuesday,12,1,10.2,3.7,2.8,17.8,34.5,1,1,0,993.47,9,4.6
ORD100057,DS_Delhi_Lajpat,Delhi,Snacks,2024-07-05 19:04:00,Friday,19,1,6.1,2.8,2.3,25.4,36.599999999999994,1,0,0,1666.9,10,3.5
ORD100058,DS_Mumbai_BKC,Mumbai,Snacks,2024-06-02 22:19:00,Sunday,22,0,5.6,2.5,1.7,22.2,32.0,1,0,0,667.99,12,3.8
ORD100059,DS_Delhi_CP,Delhi,Personal Care,2024-04-08 19:42:00,Monday,19,1,8.6,3.9,2.2,28.1,42.8,1,0,0,1257.89,3,4.0
ORD100060,DS_Bangalore_Koramangala,Bangalore,Personal Care,2024-07-26 23:53:00,Friday,23,0,4.3,2.4,2.4,21.1,30.200000000000003,1,1,1,842.21,10,3.7
ORD100061,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-08-26 20:28:00,Monday,20,1,10.2,4.3,1.7,26.7,42.9,1,0,0,978.77,12,3.6
ORD100062,DS_Mumbai_BKC,Mumbai,Staples,2024-05-25 22:42:00,Saturday,22,0,5.6,4.1,2.4,22.1,34.2,1,0,0,683.12,4,4.2
ORD100063,DS_Bangalore_Koramangala,Bangalore,Beverages,2024-04-25 12:09:00,Thursday,12,1,10.0,3.7,1.8,25.6,41.1,1,1,1,918.23,2,3.6
ORD100064,DS_Hyderabad_Hitech,Hyderabad,Fruits & Veg,2024-11-18 12:45:00,Monday,12,1,10.2,3.6,1.6,34.5,49.9,1,0,0,950.55,4,3.3
ORD100065,DS_Mumbai_Andheri,Mumbai,Personal Care,2024-02-24 19:14:00,Saturday,19,1,7.6,4.2,2.4,27.1,41.300000000000004,1,1,0,990.17,1,4.0
ORD100066,DS_Delhi_Lajpat,Delhi,Personal Care,2024-03-03 20:08:00,Sunday,20,1,10.0,2.1,2.0,20.6,34.7,1,0,0,1241.53,9,4.1
ORD100067,DS_Bangalore_Whitefield,Bangalore,Staples,2024-08-14 22:27:00,Wednesday,22,0,5.7,2.2,1.8,20.1,29.800000000000004,0,0,0,1040.42,3,4.0
ORD100068,DS_Pune_Kothrud,Pune,Beverages,2024-08-18 14:48:00,Sunday,14,0,4.4,3.2,2.1,15.5,25.200000000000003,0,0,0,1191.27,9,4.0
ORD100069,DS_Delhi_Lajpat,Delhi,Snacks,2024-05-20 20:04:00,Monday,20,1,10.5,1.6,1.3,20.4,33.8,1,0,0,513.95,6,3.6
ORD100070,DS_Mumbai_BKC,Mumbai,Dairy,2024-03-11 10:14:00,Monday,10,0,6.6,4.5,2.4,17.2,30.7,1,0,0,376.71,4,3.7
ORD100071,DS_Hyderabad_Hitech,Hyderabad,Beverages,2024-07-27 16:34:00,Saturday,16,0,4.0,3.0,1.9,19.6,28.5,0,0,0,224.61,7,3.9
ORD100072,DS_Mumbai_Andheri,Mumbai,Personal Care,2024-10-21 18:30:00,Monday,18,0,7.0,4.5,1.9,20.0,33.4,1,1,1,1385.84,7,4.0
ORD100073,DS_Delhi_Lajpat,Delhi,Staples,2024-09-06 13:17:00,Friday,13,1,9.2,3.2,2.0,24.5,38.9,1,0,0,168.76,6,3.4
ORD100074,DS_Hyderabad_Hitech,Hyderabad,Personal Care,2024-03-25 20:58:00,Monday,20,1,10.0,3.5,2.7,28.8,45.0,1,1,0,165.3,7,4.6
ORD100075,DS_Mumbai_Andheri,Mumbai,Beverages,2024-02-12 19:08:00,Monday,19,1,8.5,3.9,2.1,34.9,49.4,1,0,0,425.3,5,3.4
ORD100076,DS_Bangalore_Whitefield,Bangalore,Frozen,2024-04-18 20:20:00,Thursday,20,1,8.3,2.4,0.9,21.4,33.0,1,0,0,1597.8,5,3.4
ORD100077,DS_Hyderabad_Hitech,Hyderabad,Fruits & Veg,2024-05-09 08:30:00,Thursday,8,1,10.3,3.3,2.9,28.8,45.3,1,1,0,1799.85,6,3.5
ORD100078,DS_Mumbai_BKC,Mumbai,Fruits & Veg,2024-11-29 07:48:00,Friday,7,0,4.2,3.5,1.3,27.2,36.2,1,1,1,1529.9,10,4.2
ORD100079,DS_Delhi_Lajpat,Delhi,Frozen,2024-03-05 21:42:00,Tuesday,21,1,9.1,1.3,2.7,23.4,36.5,1,1,0,901.26,5,4.2
ORD100080,DS_Bangalore_Whitefield,Bangalore,Personal Care,2024-03-26 09:49:00,Tuesday,9,1,6.8,2.4,2.0,24.2,35.4,1,0,0,1740.73,2,3.5
ORD100081,DS_Mumbai_Andheri,Mumbai,Staples,2024-06-08 18:25:00,Saturday,18,0,7.2,1.9,1.9,18.6,29.6,0,0,0,453.19,10,4.4
ORD100082,DS_Delhi_Lajpat,Delhi,Frozen,2024-02-22 15:54:00,Thursday,15,0,7.4,1.9,1.2,24.4,34.9,1,0,0,1473.29,10,3.8
ORD100083,DS_Mumbai_Andheri,Mumbai,Snacks,2024-06-26 23:27:00,Wednesday,23,0,4.5,4.6,2.1,23.9,35.099999999999994,1,0,0,235.85,11,3.7
ORD100084,DS_Mumbai_Andheri,Mumbai,Staples,2024-08-03 21:06:00,Saturday,21,1,14.1,4.8,1.9,28.9,49.699999999999996,1,0,0,728.48,8,4.0
ORD100085,DS_Delhi_CP,Delhi,Frozen,2024-08-10 11:46:00,Saturday,11,0,8.7,2.0,2.3,23.3,36.3,1,0,0,1212.77,10,3.0
ORD100086,DS_Pune_Kothrud,Pune,Frozen,2024-08-26 19:52:00,Monday,19,1,7.6,1.0,1.9,27.6,38.1,1,0,0,570.9,4,4.3
ORD100087,DS_Mumbai_BKC,Mumbai,Beverages,2024-05-22 20:15:00,Wednesday,20,1,10.1,4.6,1.3,15.5,31.5,1,0,0,1077.35,11,3.7
ORD100088,DS_Bangalore_Whitefield,Bangalore,Frozen,2024-01-15 21:54:00,Monday,21,1,10.8,3.0,1.0,23.6,38.400000000000006,1,0,0,939.08,6,3.2
ORD100089,DS_Bangalore_Koramangala,Bangalore,Dairy,2024-06-23 14:56:00,Sunday,14,0,7.3,3.4,1.5,15.4,27.6,0,0,0,1598.58,9,3.8
ORD100090,DS_Delhi_Lajpat,Delhi,Staples,2024-02-13 13:46:00,Tuesday,13,1,9.9,4.0,1.5,26.5,41.9,1,0,0,1052.7,4,3.5
ORD100091,DS_Pune_Kothrud,Pune,Beverages,2024-11-26 21:28:00,Tuesday,21,1,8.4,2.9,1.5,21.2,34.0,1,0,0,276.33,4,3.2
ORD100092,DS_Delhi_Lajpat,Delhi,Personal Care,2024-06-05 17:30:00,Wednesday,17,0,9.9,3.0,1.7,19.1,33.7,1,0,0,697.51,12,3.7
ORD100093,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-06-29 20:17:00,Saturday,20,1,9.6,3.6,2.4,21.3,36.9,1,0,0,507.3,12,3.5
ORD100094,DS_Bangalore_Whitefield,Bangalore,Beverages,2024-03-02 23:48:00,Saturday,23,0,5.4,0.7,1.2,24.8,32.1,1,0,0,441.79,12,4.4
ORD100095,DS_Bangalore_Koramangala,Bangalore,Snacks,2024-10-28 22:38:00,Monday,22,0,5.5,3.6,2.2,33.4,44.7,1,0,0,288.88,4,4.1
ORD100096,DS_Delhi_Lajpat,Delhi,Personal Care,2024-07-03 11:19:00,Wednesday,11,0,5.7,2.0,1.2,19.0,27.9,0,1,0,580.84,1,3.9
ORD100097,DS_Bangalore_Koramangala,Bangalore,Personal Care,2024-12-23 10:40:00,Monday,10,0,3.2,2.4,1.5,26.4,33.5,1,0,0,944.68,1,4.1
ORD100098,DS_Bangalore_Koramangala,Bangalore,Frozen,2024-08-28 21:28:00,Wednesday,21,1,10.0,4.5,2.0,19.7,36.2,1,0,0,1742.04,5,4.3
ORD100099,DS_Pune_Kothrud,Pune,Dairy,2024-02-28 08:25:00,Wednesday,8,1,11.1,2.0,1.9,19.6,34.6,1,0,0,1089.4,11,3.1
ORD100100,DS_Delhi_CP,Delhi,Personal Care,2024-03-17 15:05:00,Sunday,15,0,7.9,4.9,1.3,20.8,34.900000000000006,1,0,0,319.0,7,3.4
ORD100101,DS_Delhi_Lajpat,Delhi,Beverages,2024-09-24 18:28:00,Tuesday,18,0,5.0,2.4,1.6,18.2,27.2,0,0,0,619.55,10,3.9
ORD100102,DS_Bangalore_Koramangala,Bangalore,Staples,2024-10-18 07:39:00,Friday,7,0,6.5,2.9,1.9,13.5,24.8,0,0,0,286.71,4,4.0
ORD100103,DS_Delhi_Lajpat,Delhi,Dairy,2024-05-15 08:10:00,Wednesday,8,1,11.5,3.5,1.5,24.5,41.0,1,0,0,1047.35,3,4.0
ORD100104,DS_Hyderabad_Hitech,Hyderabad,Dairy,2024-08-18 21:18:00,Sunday,21,1,6.7,3.5,1.7,26.9,38.8,1,1,1,594.97,8,3.4
ORD100105,DS_Delhi_Lajpat,Delhi,Frozen,2024-05-15 12:27:00,Wednesday,12,1,6.4,1.4,2.0,25.3,35.1,1,1,1,370.3,5,3.3
ORD100106,DS_Delhi_CP,Delhi,Snacks,2024-02-06 07:10:00,Tuesday,7,0,7.3,1.3,2.0,11.9,22.5,0,0,0,1119.67,10,3.9
ORD100107,DS_Pune_Kothrud,Pune,Personal Care,2024-03-04 20:44:00,Monday,20,1,10.1,2.1,1.8,29.0,43.0,1,0,0,796.21,5,3.5
ORD100108,DS_Pune_Kothrud,Pune,Dairy,2024-08-12 08:38:00,Monday,8,1,11.7,1.9,2.3,31.2,47.099999999999994,1,1,0,661.5,5,2.7
ORD100109,DS_Mumbai_BKC,Mumbai,Frozen,2024-04-27 06:48:00,Saturday,6,0,4.4,3.6,1.9,19.9,29.799999999999997,0,0,0,572.78,1,4.0
ORD100110,DS_Delhi_CP,Delhi,Beverages,2024-08-28 22:41:00,Wednesday,22,0,6.2,2.8,2.6,19.3,30.9,1,0,0,587.3,10,3.8
ORD100111,DS_Pune_Kothrud,Pune,Frozen,2024-02-16 21:22:00,Friday,21,1,9.2,2.5,1.8,26.0,39.5,1,0,0,659.38,2,3.5
ORD100112,DS_Delhi_CP,Delhi,Frozen,2024-06-17 19:44:00,Monday,19,1,10.6,5.1,2.4,22.4,40.5,1,0,0,1233.14,7,4.2
ORD100113,DS_Mumbai_Andheri,Mumbai,Frozen,2024-08-20 08:20:00,Tuesday,8,1,9.2,1.0,1.5,14.6,26.299999999999997,0,0,0,314.75,7,4.1
ORD100114,DS_Mumbai_Andheri,Mumbai,Personal Care,2024-12-02 23:29:00,Monday,23,0,6.0,4.7,2.2,16.9,29.799999999999997,0,0,0,435.14,6,4.5
ORD100115,DS_Pune_Kothrud,Pune,Beverages,2024-11-16 20:48:00,Saturday,20,1,5.6,3.2,2.4,16.6,27.800000000000004,0,1,1,340.1,5,4.7
ORD100116,DS_Pune_Kothrud,Pune,Snacks,2024-03-03 06:40:00,Sunday,6,0,6.7,2.6,2.3,29.4,41.0,1,0,0,522.02,3,3.8
ORD100117,DS_Mumbai_Andheri,Mumbai,Beverages,2024-10-09 19:05:00,Wednesday,19,1,10.5,2.5,1.6,28.2,42.8,1,0,0,1533.56,2,3.4
ORD100118,DS_Mumbai_BKC,Mumbai,Snacks,2024-11-27 10:31:00,Wednesday,10,0,6.1,2.5,2.2,19.7,30.5,1,0,0,610.33,12,4.1
ORD100119,DS_Hyderabad_Hitech,Hyderabad,Personal Care,2024-09-04 21:15:00,Wednesday,21,1,9.0,2.7,1.5,21.8,35.0,1,0,0,363.0,4,3.9
ORD100120,DS_Delhi_CP,Delhi,Snacks,2024-02-05 14:49:00,Monday,14,0,7.5,2.1,2.4,24.8,36.8,1,0,0,817.1,9,3.9
ORD100121,DS_Mumbai_Andheri,Mumbai,Frozen,2024-05-24 15:53:00,Friday,15,0,9.8,2.2,1.4,9.1,22.5,0,0,0,1798.16,8,4.8
ORD100122,DS_Delhi_CP,Delhi,Beverages,2024-08-16 23:30:00,Friday,23,0,7.3,2.9,2.1,12.4,24.7,0,0,0,1047.22,9,5.0
ORD100123,DS_Pune_Kothrud,Pune,Dairy,2024-06-13 12:44:00,Thursday,12,1,10.3,3.1,2.4,26.4,42.2,1,0,0,763.39,7,3.8
ORD100124,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-08-30 18:24:00,Friday,18,0,4.4,3.5,2.9,24.7,35.5,1,0,0,1451.22,11,4.3
ORD100125,DS_Pune_Kothrud,Pune,Frozen,2024-01-19 10:32:00,Friday,10,0,5.0,2.0,1.9,18.3,27.200000000000003,0,0,0,677.75,2,4.6
ORD100126,DS_Pune_Kothrud,Pune,Frozen,2024-02-21 22:58:00,Wednesday,22,0,2.6,4.5,1.9,15.9,24.9,0,0,0,1333.71,7,3.8
ORD100127,DS_Delhi_CP,Delhi,Beverages,2024-02-08 21:50:00,Thursday,21,1,6.7,3.8,2.0,17.6,30.1,1,0,0,688.78,12,3.2
ORD100128,DS_Mumbai_BKC,Mumbai,Frozen,2024-06-17 23:24:00,Monday,23,0,5.3,4.7,1.9,10.5,22.4,0,0,0,1173.02,8,4.1
ORD100129,DS_Mumbai_Andheri,Mumbai,Staples,2024-11-12 08:15:00,Tuesday,8,1,9.5,0.3,2.0,22.8,34.6,1,0,0,1667.16,4,4.0
ORD100130,DS_Mumbai_BKC,Mumbai,Fruits & Veg,2024-08-10 09:48:00,Saturday,9,1,13.7,4.1,1.9,18.5,38.199999999999996,1,0,0,1585.93,8,4.7
ORD100131,DS_Bangalore_Koramangala,Bangalore,Beverages,2024-01-15 07:20:00,Monday,7,0,6.1,3.0,2.0,19.0,30.1,1,0,0,612.86,6,3.6
ORD100132,DS_Delhi_CP,Delhi,Fruits & Veg,2024-05-05 22:26:00,Sunday,22,0,4.9,2.5,2.0,15.3,24.700000000000003,0,0,0,1451.43,3,3.9
ORD100133,DS_Mumbai_BKC,Mumbai,Fruits & Veg,2024-11-08 18:39:00,Friday,18,0,6.2,2.7,2.8,4.7,16.4,0,0,0,956.08,10,4.6
ORD100134,DS_Delhi_Lajpat,Delhi,Snacks,2024-08-24 14:29:00,Saturday,14,0,8.5,0.9,1.8,16.1,27.300000000000004,0,0,0,135.79,8,3.6
ORD100135,DS_Delhi_CP,Delhi,Staples,2024-02-07 20:22:00,Wednesday,20,1,8.4,1.9,2.9,28.7,41.9,1,0,0,622.58,7,4.2
ORD100136,DS_Bangalore_Koramangala,Bangalore,Fruits & Veg,2024-08-21 15:12:00,Wednesday,15,0,7.4,1.9,1.7,20.4,31.4,1,0,0,1553.6,2,3.2
ORD100137,DS_Hyderabad_Hitech,Hyderabad,Frozen,2024-10-19 17:36:00,Saturday,17,0,7.4,2.8,1.8,21.6,33.6,1,0,0,1294.79,1,3.9
ORD100138,DS_Hyderabad_Hitech,Hyderabad,Personal Care,2024-05-20 06:36:00,Monday,6,0,5.3,4.2,1.5,21.1,32.1,1,0,0,1427.56,1,3.9
ORD100139,DS_Pune_Kothrud,Pune,Personal Care,2024-05-26 13:38:00,Sunday,13,1,9.4,3.3,1.4,28.6,42.7,1,0,0,487.93,4,3.6
ORD100140,DS_Bangalore_Koramangala,Bangalore,Dairy,2024-12-13 10:40:00,Friday,10,0,5.0,4.0,1.6,11.0,21.6,0,1,0,186.23,8,3.6
ORD100141,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-03-08 08:58:00,Friday,8,1,11.2,1.7,2.9,13.6,29.4,0,0,0,1375.77,3,4.9
ORD100142,DS_Delhi_CP,Delhi,Snacks,2024-10-03 17:33:00,Thursday,17,0,6.4,2.9,1.7,20.0,31.0,1,0,0,577.85,3,3.7
ORD100143,DS_Pune_Kothrud,Pune,Frozen,2024-05-31 16:51:00,Friday,16,0,8.2,3.1,2.1,16.2,29.599999999999998,0,1,0,356.47,4,4.2
ORD100144,DS_Hyderabad_Hitech,Hyderabad,Dairy,2024-10-12 17:05:00,Saturday,17,0,6.6,1.3,1.3,21.7,30.9,1,0,0,143.38,9,3.8
ORD100145,DS_Pune_Kothrud,Pune,Dairy,2024-07-07 14:37:00,Sunday,14,0,5.6,3.0,2.2,15.3,26.1,0,0,0,1192.76,6,3.9
ORD100146,DS_Delhi_Lajpat,Delhi,Fruits & Veg,2024-08-29 06:39:00,Thursday,6,0,6.4,2.0,2.2,9.5,20.1,0,0,0,1063.16,10,4.6
ORD100147,DS_Mumbai_BKC,Mumbai,Fruits & Veg,2024-11-21 20:58:00,Thursday,20,1,10.9,3.3,2.5,32.3,49.0,1,0,0,1210.72,2,4.1
ORD100148,DS_Mumbai_Andheri,Mumbai,Beverages,2024-01-20 15:31:00,Saturday,15,0,2.3,1.7,1.7,18.1,23.8,0,1,1,1023.08,7,4.4
ORD100149,DS_Bangalore_Whitefield,Bangalore,Staples,2024-12-09 23:26:00,Monday,23,0,4.5,3.2,1.6,14.9,24.200000000000003,0,0,0,1340.69,7,3.6
ORD100150,DS_Mumbai_BKC,Mumbai,Frozen,2024-09-07 19:17:00,Saturday,19,1,8.2,1.6,1.5,29.3,40.6,1,1,1,864.88,4,3.3
ORD100151,DS_Bangalore_Whitefield,Bangalore,Beverages,2024-02-20 17:34:00,Tuesday,17,0,11.3,3.5,2.1,13.7,30.6,1,0,0,1203.31,1,4.0
